ID,Jugador,Equipo,Posicion,Edad,Partidos,Goles,Asistencias,ValorMercado
413,Juan Flores,Juventus,Defensa,27,18,0,10,27948249
414,Javier Diaz,Barcelona,Defensa,27,11,4,1,177373335
415,Juan Garcia,Barcelona,Delantero,25,37,8,8,10852759
416,Eduardo Perez,Manchester City,Delantero,27,37,36,15,191740628
417,Miguel Flores,Real Madrid,Mediocampista,40,38,14,10,59186034
418,Miguel Perez,Chelsea,Mediocampista,30,17,8,1,177478944
419,Eduardo Garcia,Bayern Munich,Mediocampista,28,25,7,2,165642546
420,Ricardo Flores,PSG,Portero,36,20,0,1,131604752
421,Carlos Ramirez,Juventus,Portero,26,20,0,2,48778910
422,Luis Garcia,Arsenal,Mediocampista,18,13,4,23,25775430
423,Eduardo Diaz,Arsenal,Mediocampista,32,9,14,2,185475921
424,Javier Ruiz,Barcelona,Mediocampista,28,30,1,4,48679057
425,Andres Ramirez,Liverpool,Defensa,25,19,4,2,118548972
426,Andres Silva,Milan,Portero,31,17,0,0,148751585
427,Miguel Ramirez,PSG,Defensa,21,36,2,8,110717613
428,Carlos Torres,Liverpool,Mediocampista,34,19,6,2,59899591
429,Luis Lopez,Juventus,Defensa,30,8,1,0,179121978
430,Javier Diaz,Juventus,Delantero,34,32,37,15,192248279
431,Javier Ramirez,Juventus,Mediocampista,33,19,1,2,11660261
432,Miguel Torres,Real Madrid,Delantero,30,31,15,12,26134464
433,Miguel Hernandez,Liverpool,Portero,30,15,0,3,3978897
434,Javier Lopez,Chelsea,Portero,29,10,0,1,138931468
435,Miguel Ruiz,Manchester City,Portero,21,16,0,0,171540168
436,Carlos Perez,Juventus,Mediocampista,21,38,11,4,60025468
437,Luis Ruiz,Bayern Munich,Mediocampista,23,14,10,23,146694898
438,Andres Lopez,Liverpool,Mediocampista,33,12,14,21,163121903
439,Diego Silva,Bayern Munich,Delantero,39,16,25,8,38221128
440,Luis Ruiz,Milan,Portero,34,12,0,2,167900868
441,Andres Perez,Milan,Portero,22,38,0,2,161896937
442,Ricardo Garcia,PSG,Defensa,36,34,5,2,28826401
443,Carlos Lopez,Bayern Munich,Delantero,36,27,19,20,29406472
444,Carlos Diaz,Arsenal,Delantero,33,35,26,12,153374820
445,Juan Ramirez,Liverpool,Mediocampista,23,25,15,22,36206105
446,Javier Diaz,PSG,Delantero,24,7,35,11,39944128
447,Andres Perez,Juventus,Mediocampista,39,8,9,18,127611360
448,Fernando Hernandez,Arsenal,Delantero,35,19,6,20,195260006
449,Javier Perez,Real Madrid,Delantero,19,14,33,13,153309976
450,Luis Torres,Arsenal,Portero,36,22,0,3,194849797
451,Ricardo Garcia,Chelsea,Portero,27,21,0,1,131964129
452,Ricardo Torres,Arsenal,Defensa,18,25,3,5,60152558
453,Fernando Torres,Bayern Munich,Defensa,37,12,1,6,182549583
454,Miguel Ramirez,Chelsea,Defensa,24,18,8,7,18796620
455,Fernando Lopez,Liverpool,Mediocampista,21,33,5,21,143543604
456,Javier Ramirez,Juventus,Delantero,38,18,13,10,161601650
457,Luis Ruiz,Manchester City,Portero,22,15,0,1,28569602
458,Andres Diaz,Real Madrid,Delantero,20,36,21,7,66404553
459,Fernando Ruiz,Arsenal,Defensa,27,13,3,7,117983690
460,Diego Ruiz,PSG,Mediocampista,20,30,13,15,61789559
461,Ricardo Flores,PSG,Portero,33,27,0,2,74587892
462,Eduardo Diaz,Arsenal,Portero,28,27,0,0,13759480
463,Diego Lopez,Real Madrid,Mediocampista,20,20,8,2,53932794
464,Diego Hernandez,Juventus,Portero,29,5,0,1,103462085
465,Miguel Perez,Milan,Portero,24,14,0,0,56726122
466,Juan Perez,Liverpool,Portero,25,27,0,2,104563889
467,Miguel Silva,Juventus,Defensa,24,34,3,3,148919243
468,Carlos Flores,Liverpool,Defensa,23,5,1,3,151501731
469,Ricardo Perez,Real Madrid,Mediocampista,18,7,1,21,140851439
470,Ricardo Diaz,PSG,Portero,19,19,0,3,64359625
471,Eduardo Torres,Chelsea,Delantero,32,10,17,14,89198668
472,Andres Ruiz,Chelsea,Portero,27,35,0,2,145389347
473,Javier Ruiz,Real Madrid,Mediocampista,25,17,9,0,89523156
474,Ricardo Perez,Manchester City,Delantero,27,21,18,0,162033933
475,Ricardo Ruiz,Juventus,Delantero,26,16,34,10,186989698
476,Javier Perez,Chelsea,Portero,28,25,0,3,99231954
477,Ricardo Garcia,Real Madrid,Portero,38,29,0,1,100715146
478,Ricardo Diaz,Arsenal,Mediocampista,31,7,9,17,87796094
479,Diego Ramirez,Juventus,Defensa,33,15,6,0,175353842
480,Andres Lopez,Manchester City,Delantero,19,27,21,0,159398523
481,Diego Ruiz,Arsenal,Portero,33,26,0,2,194601475
482,Javier Ramirez,Real Madrid,Mediocampista,24,28,13,7,60753009
483,Miguel Garcia,Liverpool,Portero,29,19,0,0,86616495
484,Javier Perez,Milan,Defensa,19,20,2,0,18717844
485,Fernando Ruiz,Arsenal,Defensa,40,7,1,1,63837471
486,Carlos Lopez,Milan,Delantero,30,21,30,15,59664558
487,Carlos Flores,PSG,Mediocampista,35,31,7,8,1425325
488,Ricardo Torres,Arsenal,Mediocampista,35,21,9,13,167419511
489,Fernando Perez,Chelsea,Defensa,38,35,1,9,161085071
490,Ricardo Silva,Liverpool,Delantero,28,31,3,3,174510650
491,Fernando Diaz,Bayern Munich,Defensa,23,25,0,9,54229599
492,Juan Silva,PSG,Defensa,20,19,1,5,38294059
493,Miguel Perez,Milan,Mediocampista,33,36,0,12,62783117
494,Andres Hernandez,Juventus,Portero,32,23,0,1,154473535
495,Andres Lopez,Chelsea,Delantero,29,13,6,20,46203515
496,Eduardo Hernandez,Liverpool,Mediocampista,18,11,0,16,78914018
497,Ricardo Ruiz,PSG,Defensa,33,27,6,4,156655327
498,Ricardo Silva,Bayern Munich,Mediocampista,23,13,7,2,70270734
499,Miguel Ramirez,Juventus,Mediocampista,38,25,4,5,113016615
500,Diego Ruiz,Liverpool,Portero,18,28,0,3,40228564
501,Miguel Perez,Bayern Munich,Delantero,30,16,16,3,101502801
502,Diego Silva,Milan,Mediocampista,26,12,2,18,125675136
503,Andres Diaz,Chelsea,Mediocampista,22,12,5,25,75347661
504,Andres Ruiz,Bayern Munich,Delantero,38,19,9,7,157963417
505,Carlos Diaz,Bayern Munich,Mediocampista,20,22,4,9,101098666
506,Juan Ruiz,Chelsea,Defensa,18,11,1,10,139738176
507,Carlos Perez,Liverpool,Defensa,30,9,6,2,19247032
508,Andres Lopez,Arsenal,Delantero,25,28,24,15,179833894
509,Javier Hernandez,PSG,Defensa,40,13,2,9,105452981
510,Luis Ruiz,Milan,Mediocampista,30,32,2,17,63918410
511,Ricardo Torres,Liverpool,Mediocampista,26,35,6,8,99310241
512,Andres Flores,Real Madrid,Defensa,28,32,0,4,129998887
513,Andres Perez,Manchester City,Portero,38,13,0,3,19062510
514,Diego Ramirez,Bayern Munich,Mediocampista,26,16,10,20,78854014
515,Miguel Flores,PSG,Mediocampista,34,18,4,10,54464690
516,Eduardo Flores,Arsenal,Defensa,20,7,4,9,127457019
517,Fernando Ruiz,PSG,Delantero,40,6,33,18,2788554
518,Andres Ruiz,Manchester City,Portero,39,25,0,3,7797264
519,Carlos Hernandez,Manchester City,Delantero,22,12,31,16,91559099
520,Miguel Lopez,Liverpool,Defensa,20,35,5,2,192829582
521,Juan Garcia,Real Madrid,Portero,22,27,0,2,14280827
522,Fernando Ramirez,Barcelona,Mediocampista,40,22,2,15,191935810
523,Miguel Ramirez,Barcelona,Delantero,35,32,23,11,143329689
524,Juan Silva,Arsenal,Portero,18,22,0,1,54362125
525,Diego Diaz,Manchester City,Defensa,20,24,8,10,42286560
526,Diego Flores,Milan,Mediocampista,28,33,7,19,83484758
527,Luis Silva,Chelsea,Defensa,20,26,4,2,103236571
528,Fernando Silva,Arsenal,Defensa,18,26,2,6,36333006
529,Javier Hernandez,Barcelona,Defensa,38,18,2,1,128833717
530,Andres Hernandez,Manchester City,Portero,18,7,0,2,94253338
531,Javier Torres,Juventus,Mediocampista,33,15,4,7,37054606
532,Diego Silva,Bayern Munich,Defensa,29,17,2,10,95211698
533,Juan Flores,Juventus,Portero,27,32,0,1,176507237
534,Eduardo Flores,PSG,Delantero,19,17,7,1,77837369
535,Luis Diaz,Milan,Delantero,23,14,24,6,75372630
536,Eduardo Ramirez,Arsenal,Defensa,20,21,3,9,20016537
537,Andres Torres,Bayern Munich,Defensa,18,37,8,4,5045509
538,Juan Torres,Manchester City,Mediocampista,26,35,5,4,39864947
539,Carlos Lopez,Arsenal,Portero,29,34,0,3,126464629
540,Luis Ramirez,Juventus,Portero,33,23,0,0,42396026
541,Eduardo Diaz,Milan,Portero,36,26,0,1,24914248
542,Diego Ramirez,Manchester City,Mediocampista,40,33,9,15,180451642
543,Ricardo Silva,Bayern Munich,Delantero,35,23,14,11,2403767
544,Eduardo Hernandez,Arsenal,Defensa,36,18,4,2,65531769
545,Ricardo Diaz,Arsenal,Portero,23,36,0,2,84418479
546,Luis Lopez,Real Madrid,Delantero,35,10,39,7,145081137
547,Juan Torres,PSG,Delantero,31,31,27,17,159065231
548,Ricardo Ruiz,Manchester City,Mediocampista,31,7,12,11,113428597
549,Ricardo Flores,Chelsea,Defensa,30,38,3,6,24426114
550,Miguel Ramirez,Real Madrid,Mediocampista,30,34,0,22,177476610
551,Fernando Torres,Manchester City,Mediocampista,32,9,8,9,18682266
552,Fernando Diaz,Barcelona,Delantero,31,12,18,16,94931329
553,Diego Torres,Chelsea,Mediocampista,26,5,2,14,92818372
554,Ricardo Diaz,Milan,Delantero,37,19,31,17,36636210
555,Diego Ruiz,Chelsea,Defensa,28,5,2,8,163677435
556,Ricardo Diaz,Milan,Defensa,23,27,5,9,190496046
557,Eduardo Perez,Chelsea,Mediocampista,24,14,15,11,126022474
558,Eduardo Torres,Barcelona,Delantero,33,21,29,4,26712521
559,Juan Ramirez,Barcelona,Delantero,20,25,4,6,162913449
560,Diego Perez,Real Madrid,Mediocampista,27,19,1,1,170936774
561,Luis Ramirez,Liverpool,Mediocampista,35,30,15,6,111031533
562,Eduardo Perez,Chelsea,Defensa,36,12,7,6,85620110
563,Eduardo Silva,PSG,Delantero,38,30,22,10,29048571
564,Javier Ramirez,Liverpool,Portero,33,33,0,1,126512122
565,Ricardo Perez,Manchester City,Delantero,25,8,1,5,82619832
566,Juan Perez,Barcelona,Defensa,37,33,7,3,16421576
567,Luis Diaz,Liverpool,Delantero,30,20,11,5,191208537
568,Ricardo Hernandez,Bayern Munich,Defensa,28,36,5,10,23111073
569,Diego Perez,Liverpool,Portero,36,31,0,0,136999361
570,Andres Torres,Milan,Delantero,21,21,19,2,154510763
571,Carlos Ruiz,Juventus,Delantero,23,14,38,19,29644154
572,Luis Ruiz,PSG,Delantero,26,35,14,7,133834928
573,Ricardo Perez,Chelsea,Portero,26,23,0,2,160440256
574,Carlos Flores,Arsenal,Mediocampista,28,10,12,0,44021481
575,Carlos Lopez,Liverpool,Defensa,22,12,0,6,86461988
576,Miguel Ruiz,Real Madrid,Portero,37,20,0,3,17274352
577,Fernando Perez,Milan,Mediocampista,33,11,3,14,116555916
578,Ricardo Hernandez,PSG,Delantero,18,32,36,18,103969693
579,Javier Torres,Juventus,Portero,31,37,0,2,187314032
580,Diego Lopez,Juventus,Mediocampista,26,33,14,5,33137394
581,Andres Hernandez,Barcelona,Defensa,25,24,1,8,108868490
582,Luis Torres,Milan,Delantero,29,7,0,10,73536138
583,Ricardo Hernandez,Juventus,Mediocampista,35,14,8,19,34474219
584,Eduardo Garcia,Arsenal,Delantero,30,19,5,20,155371664
585,Javier Torres,Liverpool,Portero,29,31,0,2,52590733
586,Miguel Perez,Barcelona,Mediocampista,25,13,0,15,160271648
587,Fernando Perez,Real Madrid,Defensa,21,12,0,9,167679465
588,Javier Ruiz,Bayern Munich,Defensa,27,5,3,6,57509582
589,Miguel Torres,Chelsea,Portero,32,24,0,1,39664818
590,Eduardo Silva,Liverpool,Portero,30,35,0,1,149026877
591,Javier Hernandez,Milan,Mediocampista,20,29,5,9,192244020
592,Javier Perez,Manchester City,Defensa,29,8,0,7,162564065
593,Miguel Ruiz,Liverpool,Mediocampista,24,11,10,22,6485490
594,Juan Perez,PSG,Mediocampista,37,38,0,22,86408969
595,Miguel Ramirez,Real Madrid,Mediocampista,40,25,6,22,133010911
596,Carlos Hernandez,Chelsea,Portero,27,13,0,1,148896826
597,Miguel Torres,Manchester City,Mediocampista,20,37,14,22,172098856
598,Eduardo Hernandez,Real Madrid,Portero,28,10,0,2,129348396
599,Fernando Hernandez,Chelsea,Portero,35,22,0,0,138512312
600,Javier Ramirez,Chelsea,Mediocampista,34,32,10,10,34649212
601,Miguel Flores,Barcelona,Defensa,19,19,3,9,171249328
602,Miguel Ramirez,Arsenal,Defensa,37,23,3,4,21666016
603,Javier Perez,Liverpool,Portero,37,24,0,3,181215237
604,Miguel Lopez,Bayern Munich,Delantero,19,8,39,8,95953381
605,Carlos Perez,Liverpool,Defensa,20,17,1,4,50520247
606,Javier Diaz,PSG,Delantero,21,15,13,3,172862821
607,Miguel Silva,Bayern Munich,Defensa,24,12,5,5,143745416
608,Eduardo Lopez,Arsenal,Mediocampista,36,20,6,2,135876860
609,Carlos Ramirez,Milan,Delantero,23,25,10,4,133789930
610,Andres Flores,Arsenal,Portero,36,18,0,2,101060579
611,Ricardo Diaz,Chelsea,Mediocampista,35,19,12,13,10655261
612,Andres Flores,Barcelona,Mediocampista,33,26,10,25,112190278
613,Carlos Flores,Real Madrid,Mediocampista,27,33,10,4,142627877
614,Fernando Silva,Barcelona,Portero,38,7,0,1,88200083
615,Andres Flores,Real Madrid,Delantero,32,29,20,19,66095067
616,Eduardo Diaz,Manchester City,Defensa,22,36,1,2,163220717
617,Juan Diaz,Barcelona,Mediocampista,24,15,13,22,82880895
618,Eduardo Garcia,Bayern Munich,Mediocampista,25,35,7,2,102024615
619,Andres Ramirez,Juventus,Mediocampista,19,26,10,6,3545922
620,Fernando Garcia,Real Madrid,Portero,25,11,0,3,22380389
621,Miguel Diaz,Real Madrid,Portero,18,33,0,3,86305915
622,Eduardo Ruiz,PSG,Delantero,19,21,14,11,112613834
623,Juan Ruiz,Barcelona,Defensa,37,30,4,3,188264981
624,Andres Torres,Liverpool,Portero,31,9,0,2,38840322
625,Carlos Ramirez,Chelsea,Defensa,36,21,6,0,169365670
626,Carlos Ruiz,Real Madrid,Mediocampista,32,34,14,19,169343675
627,Javier Hernandez,PSG,Delantero,30,29,1,1,51354931
628,Luis Perez,Juventus,Mediocampista,25,8,2,3,63568661
629,Luis Lopez,Bayern Munich,Portero,21,28,0,2,148131835
630,Luis Ramirez,Barcelona,Defensa,36,5,5,10,178194426
631,Miguel Hernandez,Chelsea,Delantero,27,22,16,20,79677119
632,Miguel Lopez,Manchester City,Portero,20,13,0,2,190191032
633,Diego Ruiz,Bayern Munich,Defensa,18,26,8,10,90393231
634,Carlos Ruiz,PSG,Defensa,37,38,8,8,33919883
635,Javier Silva,Bayern Munich,Mediocampista,28,11,7,7,58448939
636,Carlos Ramirez,Real Madrid,Mediocampista,34,27,7,25,31953513
637,Diego Garcia,Real Madrid,Mediocampista,28,14,12,9,105948099
638,Eduardo Lopez,Arsenal,Defensa,22,37,3,6,164841916
639,Juan Ramirez,Arsenal,Delantero,34,19,6,8,32340411
640,Andres Torres,Real Madrid,Portero,21,27,0,0,199121817
641,Andres Perez,Chelsea,Mediocampista,27,35,5,19,84398472
642,Miguel Flores,Liverpool,Delantero,20,35,40,7,27606133
643,Juan Lopez,Bayern Munich,Delantero,23,15,31,14,40077597
644,Luis Flores,Juventus,Defensa,38,29,0,7,51052741
645,Fernando Garcia,Real Madrid,Defensa,39,17,2,2,11993194
646,Fernando Hernandez,Liverpool,Portero,40,21,0,1,145998773
647,Fernando Ruiz,Bayern Munich,Portero,31,13,0,0,113428038
648,Eduardo Diaz,Bayern Munich,Mediocampista,30,8,2,20,97173356
649,Miguel Garcia,Chelsea,Mediocampista,33,5,12,12,114669368
650,Miguel Perez,Manchester City,Portero,40,26,0,3,41474914
651,Diego Ruiz,Arsenal,Delantero,28,10,11,19,147637789
652,Miguel Hernandez,Arsenal,Defensa,35,9,1,7,157443610
653,Diego Ramirez,Arsenal,Delantero,26,9,26,9,102818991
654,Eduardo Flores,Bayern Munich,Defensa,37,33,0,10,85823124
655,Fernando Ruiz,Real Madrid,Mediocampista,38,25,3,22,44054581
656,Javier Diaz,PSG,Mediocampista,40,26,9,25,108433183
657,Carlos Lopez,Real Madrid,Defensa,38,32,7,0,138586282
658,Ricardo Garcia,Real Madrid,Defensa,20,32,0,9,48975094
659,Javier Torres,Manchester City,Mediocampista,24,32,5,14,122112549
660,Diego Ruiz,Milan,Mediocampista,35,9,10,12,157812984
661,Fernando Diaz,Real Madrid,Delantero,31,29,33,3,143237407
662,Eduardo Diaz,Chelsea,Portero,39,21,0,3,116872413
663,Juan Ramirez,Milan,Defensa,37,33,8,2,132351917
664,Diego Flores,Chelsea,Defensa,28,25,7,4,112011019
665,Ricardo Perez,Milan,Mediocampista,40,13,1,5,60924262
666,Luis Hernandez,Juventus,Portero,34,18,0,2,139117317
667,Andres Perez,Liverpool,Mediocampista,35,35,2,18,14748275
668,Andres Silva,Juventus,Delantero,33,33,2,20,64063753
669,Fernando Ramirez,Arsenal,Delantero,36,19,6,13,46070209
670,Diego Lopez,Chelsea,Delantero,30,19,6,10,33972168
671,Ricardo Flores,Arsenal,Delantero,19,12,24,8,112907602
672,Fernando Silva,Arsenal,Delantero,22,35,25,4,42874271
673,Andres Silva,Barcelona,Mediocampista,37,11,13,20,84009554
674,Juan Ruiz,Manchester City,Defensa,22,28,1,8,52671856
675,Juan Diaz,Milan,Mediocampista,22,10,5,23,125628060
676,Eduardo Torres,Liverpool,Delantero,29,19,35,1,20240777
677,Ricardo Silva,Barcelona,Defensa,19,31,2,10,185427001
678,Javier Hernandez,Real Madrid,Portero,30,28,0,3,193804597
679,Luis Ruiz,Chelsea,Delantero,21,36,35,20,118285085
680,Carlos Ruiz,Manchester City,Delantero,28,33,35,0,41137743
681,Ricardo Perez,Chelsea,Mediocampista,22,21,9,17,1946090
682,Andres Diaz,Juventus,Mediocampista,37,37,9,4,122847376
683,Ricardo Silva,Barcelona,Mediocampista,38,13,0,3,108895457
684,Miguel Ramirez,Real Madrid,Mediocampista,29,31,13,0,156782926
685,Luis Torres,Liverpool,Defensa,39,15,6,2,177509182
686,Miguel Hernandez,PSG,Delantero,37,20,25,17,14581246
687,Andres Diaz,Milan,Mediocampista,26,6,5,17,95733884
688,Fernando Torres,Barcelona,Defensa,37,11,6,0,25003193
689,Carlos Lopez,Arsenal,Mediocampista,19,17,10,15,31715037
690,Javier Ruiz,Chelsea,Mediocampista,25,7,6,23,64461971
691,Diego Ruiz,Real Madrid,Mediocampista,23,35,3,1,131589128
692,Fernando Flores,PSG,Portero,37,21,0,3,4930847
693,Juan Torres,Real Madrid,Portero,26,21,0,2,132191857
694,Miguel Lopez,Chelsea,Mediocampista,23,36,10,11,67052100
695,Carlos Garcia,Manchester City,Portero,26,34,0,0,11328003
696,Luis Hernandez,PSG,Portero,29,30,0,2,156008807
697,Miguel Torres,Arsenal,Mediocampista,38,32,8,20,6301055
698,Andres Garcia,Manchester City,Portero,32,14,0,0,197404074
699,Andres Ramirez,Manchester City,Portero,36,12,0,3,113722240
700,Luis Silva,Liverpool,Delantero,40,22,10,15,119937987
701,Miguel Ramirez,Liverpool,Defensa,34,9,6,1,133254750
702,Andres Flores,PSG,Portero,37,25,0,2,184118811
703,Juan Diaz,Milan,Defensa,30,31,6,5,104465398
704,Ricardo Torres,Real Madrid,Delantero,26,18,14,7,52288189
705,Javier Perez,Liverpool,Portero,38,19,0,3,84044062
706,Eduardo Perez,Manchester City,Portero,20,34,0,0,172710570
707,Javier Flores,Arsenal,Delantero,23,26,38,5,128502463
708,Andres Torres,Liverpool,Portero,20,33,0,3,128380531
709,Andres Lopez,Milan,Portero,21,37,0,1,77556788
710,Carlos Lopez,Liverpool,Defensa,29,18,7,4,111830681
711,Miguel Torres,Milan,Portero,33,25,0,3,127302535
712,Miguel Garcia,Bayern Munich,Delantero,28,27,34,6,176617665
713,Javier Flores,Milan,Mediocampista,35,7,4,22,28533647
714,Diego Flores,Chelsea,Delantero,34,28,2,12,75619074
715,Ricardo Diaz,Milan,Defensa,18,30,4,1,169916054
716,Miguel Lopez,Arsenal,Delantero,19,10,21,1,197718945
717,Fernando Garcia,Arsenal,Mediocampista,29,6,0,7,32596208
718,Ricardo Diaz,Bayern Munich,Defensa,26,7,5,1,62259145
719,Miguel Ramirez,Real Madrid,Delantero,34,27,5,4,127308207
720,Fernando Torres,Liverpool,Delantero,18,32,7,0,170516977
721,Javier Silva,Real Madrid,Delantero,19,10,0,15,25871886
722,Javier Torres,Milan,Mediocampista,19,29,13,6,121502245
723,Eduardo Silva,Liverpool,Delantero,28,23,15,4,144192930
724,Andres Torres,PSG,Mediocampista,32,23,0,7,26102216
725,Carlos Ruiz,Liverpool,Defensa,36,21,6,9,113539442
726,Eduardo Lopez,Chelsea,Delantero,31,15,5,4,133546194
727,Carlos Ruiz,Real Madrid,Mediocampista,23,18,11,8,59506357
728,Ricardo Garcia,Chelsea,Defensa,20,12,5,0,51406878
729,Diego Perez,Barcelona,Portero,23,18,0,3,49355530
730,Carlos Garcia,PSG,Defensa,28,11,5,1,196761006
731,Juan Flores,Real Madrid,Mediocampista,23,12,2,12,52204961
732,Eduardo Ramirez,Manchester City,Delantero,27,16,36,12,107560062
733,Andres Silva,Manchester City,Delantero,38,32,40,1,8711375
734,Juan Hernandez,Barcelona,Mediocampista,31,20,7,16,154396237
735,Luis Hernandez,Real Madrid,Defensa,38,17,0,7,167567855
736,Fernando Lopez,Milan,Portero,31,16,0,1,34743518
737,Eduardo Ramirez,Chelsea,Defensa,39,7,2,3,164172907
738,Fernando Ramirez,PSG,Delantero,21,32,37,2,55170229
739,Carlos Garcia,Real Madrid,Delantero,39,30,36,7,149199660
740,Fernando Silva,Barcelona,Mediocampista,21,30,1,2,45309374
741,Miguel Ruiz,Real Madrid,Delantero,36,31,24,3,35666306
742,Ricardo Garcia,Liverpool,Portero,34,9,0,2,177635154
743,Andres Hernandez,Real Madrid,Delantero,36,8,12,18,183902200
744,Luis Diaz,Juventus,Mediocampista,19,11,12,11,138199356
745,Luis Garcia,Barcelona,Portero,33,5,0,0,127832644
746,Juan Torres,PSG,Delantero,39,7,0,11,143489113
747,Miguel Perez,Real Madrid,Delantero,24,38,5,3,26955913
748,Eduardo Perez,Arsenal,Mediocampista,37,27,9,21,63659140
749,Juan Silva,Chelsea,Portero,26,17,0,3,152273493
750,Luis Torres,Real Madrid,Portero,38,29,0,3,68783220
751,Miguel Ramirez,Milan,Delantero,28,20,36,12,24652749
752,Luis Diaz,Juventus,Portero,25,21,0,1,151880783
753,Juan Diaz,Bayern Munich,Mediocampista,24,32,7,2,143703809
754,Eduardo Silva,Liverpool,Defensa,36,37,3,10,61103266
755,Miguel Ruiz,Liverpool,Portero,36,38,0,3,79474500
756,Carlos Perez,Liverpool,Delantero,34,32,40,17,83594040
757,Ricardo Ruiz,Bayern Munich,Mediocampista,21,32,13,2,95957164
758,Diego Garcia,Milan,Mediocampista,28,33,14,18,134425710
759,Ricardo Garcia,Chelsea,Delantero,28,24,7,1,23890867
760,Juan Perez,Arsenal,Defensa,19,21,6,3,94333901
761,Miguel Ramirez,Liverpool,Mediocampista,20,15,0,3,116085434
762,Diego Ruiz,Juventus,Delantero,38,17,18,18,93421160
763,Ricardo Hernandez,Barcelona,Portero,38,13,0,1,154947458
764,Fernando Silva,Barcelona,Portero,40,9,0,1,91923812
765,Juan Ruiz,Liverpool,Defensa,24,20,5,3,115965185
766,Carlos Ramirez,Chelsea,Mediocampista,31,8,7,3,4117908
767,Miguel Ruiz,Juventus,Mediocampista,32,36,3,21,102997080
768,Carlos Lopez,Chelsea,Mediocampista,23,28,10,5,24090418
769,Ricardo Lopez,Liverpool,Delantero,26,22,31,18,99362959
770,Ricardo Torres,PSG,Portero,20,9,0,1,54701153
771,Juan Ramirez,Milan,Mediocampista,23,18,12,10,151760641
772,Miguel Flores,Milan,Portero,26,35,0,0,128044534
773,Eduardo Torres,Barcelona,Portero,25,8,0,0,141983192
774,Ricardo Garcia,Barcelona,Delantero,33,31,9,19,11691152
775,Ricardo Flores,Liverpool,Portero,29,34,0,1,15021674
776,Luis Garcia,Liverpool,Mediocampista,22,25,8,9,37970303
777,Javier Diaz,PSG,Portero,23,17,0,2,161787403
778,Diego Perez,Real Madrid,Portero,23,27,0,3,127129515
779,Javier Ruiz,Barcelona,Portero,35,12,0,2,174195324
780,Fernando Silva,Arsenal,Defensa,26,35,7,6,198074895
781,Andres Flores,Manchester City,Mediocampista,25,27,4,14,79139056
782,Luis Diaz,Real Madrid,Delantero,40,24,21,1,176294735
783,Diego Garcia,Liverpool,Delantero,26,19,16,11,184779674
784,Miguel Ramirez,Bayern Munich,Mediocampista,36,30,13,14,110535776
785,Andres Hernandez,Juventus,Defensa,26,5,6,5,16651195
786,Miguel Ruiz,Juventus,Portero,27,19,0,2,177193665
787,Andres Ruiz,Milan,Portero,32,18,0,2,68826344
788,Miguel Lopez,Manchester City,Delantero,30,31,39,20,174734420
789,Luis Flores,Barcelona,Mediocampista,27,26,6,10,136096057
790,Luis Silva,Juventus,Portero,33,11,0,1,81333408
791,Eduardo Hernandez,Real Madrid,Portero,23,15,0,0,43530041
792,Eduardo Ruiz,Manchester City,Delantero,32,17,18,3,144945219
793,Javier Ramirez,Bayern Munich,Mediocampista,19,25,12,20,149373365
794,Luis Torres,Juventus,Mediocampista,21,16,0,0,80015278
795,Fernando Lopez,PSG,Delantero,20,29,3,7,119635454
796,Javier Hernandez,Barcelona,Portero,25,8,0,0,102988052
797,Eduardo Perez,Bayern Munich,Mediocampista,31,17,15,13,5181286
798,Diego Hernandez,Chelsea,Mediocampista,18,5,9,6,135962422
799,Luis Perez,Arsenal,Defensa,23,14,2,2,14310569
800,Carlos Perez,Milan,Defensa,22,24,8,6,53719783
801,Eduardo Flores,Milan,Delantero,24,25,19,18,145995195
802,Eduardo Flores,Liverpool,Mediocampista,36,15,13,16,62681039
803,Eduardo Hernandez,Juventus,Mediocampista,27,21,10,20,98424610
804,Fernando Garcia,Bayern Munich,Defensa,37,27,1,8,197280156
805,Diego Ramirez,PSG,Mediocampista,21,12,4,23,42228189
806,Eduardo Silva,Juventus,Delantero,35,32,33,12,31586033
807,Fernando Diaz,Juventus,Mediocampista,20,26,2,9,24541717
808,Miguel Torres,Real Madrid,Defensa,26,7,2,1,25385116
809,Ricardo Diaz,Real Madrid,Delantero,25,6,38,19,72548042
810,Fernando Garcia,Juventus,Mediocampista,20,11,2,16,128904410
811,Miguel Ramirez,Milan,Mediocampista,30,14,13,10,128380083
812,Javier Garcia,Juventus,Defensa,26,17,5,4,141645713
813,Diego Ramirez,PSG,Portero,32,11,0,1,125452841
814,Miguel Diaz,PSG,Defensa,25,16,3,10,188401417
815,Andres Lopez,Real Madrid,Delantero,27,37,8,10,166582049
816,Carlos Garcia,Bayern Munich,Mediocampista,26,15,5,17,42291911
817,Miguel Flores,PSG,Portero,38,35,0,2,197690590
818,Ricardo Flores,Manchester City,Mediocampista,35,23,1,16,112184554
819,Javier Torres,Barcelona,Portero,28,37,0,0,128459392
820,Luis Perez,Chelsea,Delantero,31,28,1,3,30159811
821,Diego Flores,Barcelona,Mediocampista,20,19,11,18,89229563
822,Luis Ramirez,Real Madrid,Portero,24,37,0,2,46248319
823,Carlos Lopez,Manchester City,Portero,28,36,0,3,198449758
